Country,Sco Exa,Score 2020
Afghanistan,63.28,40.19
Angola,25.65,34.06
Albania,23.98,30.59
Andorra,0,23.32
United Arab Emirates,35.55,43.13
Argentina,10.99,28.99
Armenia,16.09,28.83
Australia,0,19.79
Austria,10.99,16.34
Azerbaijan,50.24,58.77
Burundi,39.32,47.57
Belgium,6.93,11.69
Benin,0,38.18
Burkina Faso,6.93,23.17
Bangladesh,51.06,49.71
Bulgaria,24.85,37.29
Bahrain,64.91,61.1
Bosnia and Herzegovina,10.99,28.34
Belarus,61.68,50.82
Belize,0,27.61
Bolivia,27.73,35.47
Brazil,23.98,36.25
Brunei,0,49.91
Bhutan,0,28.86
Botswana,6.93,23.25
Central African Republic,0,41.92
Canada,0,15.25
Switzerland,6.93,10.55
Chile,30.45,27.89
China,81.77,78.72
Ivory Coast,17.92,28.87
Cameroon,43.57,43.78
DR Congo,43.82,48.59
Congo,23.98,38.83
Colombia,45.64,43.74
Comoros,6.93,30.65
Cabo Verde,0,20.09
Costa Rica,10.99,8.76
Cyprus North,0,29.82
Cuba,0,63.94
Cyprus,16.09,19.85
Czechia,0,23.38
Germany,43.31,15.24
Djibouti,10.99,78.62
Denmark,0,8.57
Dominican Republic,6.93,25.6
Algeria,35.55,47.26
Ecuador,19.46,32.83
Egypt,64.13,56.17
Eritrea,73.05,81.45
Spain,23.98,20.44
Estonia,0,15.25
Ethiopia,30.91,33.63
Finland,0,6.99
Fiji,0,27.92
France,41.9,22.6
Gabon,0,38.6
United Kingdom,13.86,21.59
Georgia,0,28.64
Ghana,17.92,21.33
Guinea,17.92,35.42
Gambia,6.93,30.76
Guinea-Bissau,0,32.68
Equatorial Guinea,0,55.67
Greece,32.19,29.01
Guatemala,13.86,38.45
Guyana,0,25.61
Hong Kong,13.86,30.44
Honduras,56.7,49.35
Croatia,0,27.95
Haiti,0,31.12
Hungary,0,31.76
Indonesia,0,37.4
India,60.73,46.56
Ireland,0,11.91
Iran,67.39,72.7
Iraq,64.71,55.57
Iceland,0,15.37
Israel,44.07,30.9
Italy,27.73,23.39
Jamaica,0,9.96
Jordan,27.08,42.89
Japan,0,28.88
Kazakhstan,13.86,50.28
Kenya,20.79,33.65
Kyrgyzstan,19.46,30.37
Cambodia,33.32,46.84
South Korea,0,23.43
Kuwait,0,34.36
Laos,57.53,70.56
Lebanon,47.1,34.93
Liberia,27.73,33.36
Libya,46.05,55.73
Liechtenstein,0,19.49
Sri Lanka,29.44,42.2
Lesotho,10.99,31.61
Lithuania,0,20.15
Luxembourg,0,17.56
Latvia,0,19.26
Morocco,55.21,43.94
Moldova,6.93,31.61
Madagascar,0,28.24
Maldives,0,29.13
Mexico,67.25,46.71
North Macedonia,0,31.67
Mali,6.93,33.5
Malta,0,30.46
Myanmar,30.91,46.14
Montenegro,21.97,34.33
Mongolia,0,28.97
Mozambique,13.86,35.39
Mauritania,0,32.25
Mauritius,0,28.74
Malawi,17.92,28.8
Malaysia,0,39.47
Namibia,10.99,19.72
Niger,13.86,28.44
Nigeria,55.01,39.69
Nicaragua,27.08,39.98
Netherlands,13.86,9.67
Norway,0,6.72
Nepal,20.79,34.62
New Zealand,0,10.04
Oman,0,43.37
Pakistan,59.64,46.86
Panama,0,29.94
Peru,13.86,31.71
Philippines,58.97,45.64
Papua New Guinea,0,24.88
Poland,33.32,28.84
Democratic Peoples Republic of Korea,51.93,81.28
Portugal,0,10.11
Paraguay,45,33.52
Palestine,29.44,43.18
Qatar,0,42.6
Romania,0,24.91
Russian Federation,52.98,48.71
Rwanda,30.45,50.66
Saudi Arabia,71.07,62.73
Sudan,30.45,52.93
Senegal,28.33,25.22
Singapore,0,55.2
Sierra Leone,17.92,29.61
El Salvador,0,30.49
Somalia,45.43,55.47
Serbia,31.78,32.03
South Sudan,30.45,45.78
Suriname,0,16.95
Slovakia,0,23.02
Slovenia,6.93,23.1
Sweden,0,7.24
Eswatini,24.85,46.34
Seychelles,0,25.66
Syrian Arab Republic,82.59,70.63
Chad,37.84,40.2
Togo,0,29.59
Thailand,52.98,45.22
Tajikistan,47.36,55.52
Turkmenistan,0,80.03
Timor-Leste,0,29.11
Tonga,0,24.59
Trinidad and Tobago,0,21.55
Tunisia,0,29.53
Turkey,66.12,49.79
Taiwan,0,23.86
Tanzania,0,40.69
Uganda,39.32,41.19
Ukraine,51.93,32.96
Uruguay,0,16.38
United States,39.7,23.93
Uzbekistan,13.86,50.74
Venezuela,54.29,47.6
Vietnam,68.04,78.46
Samoa,0,19.24
Kosovo,19.46,30.32
Yemen,53.33,62.35
South Africa,45.64,21.59
Zambia,0,38.21
Zimbabwe,34.66,43.12
